date,postcode,fuel,pc_median,st_median,spread,n_stations
2026-05-31,3145,ulp95,199.9,196.9,3.0,3
2026-05-31,3145,diesel,219.7,221.3,-1.6,3
2026-05-31,3146,ulp91,177.7,179.9,-2.2,1
2026-05-31,3146,ulp95,189.7,196.9,-7.2,1
2026-05-31,3147,ulp91,180.1,179.9,0.2,2
2026-05-31,3147,ulp95,195.2,196.9,-1.7,2
2026-05-31,3147,diesel,219.5,221.3,-1.8,2
2026-05-31,3148,ulp91,177.7,179.9,-2.2,3
2026-05-31,3148,ulp95,189.7,196.9,-7.2,3
2026-05-31,3149,ulp91,177.7,179.9,-2.2,7
2026-05-31,3149,ulp95,193.9,196.9,-3.0,7
2026-05-31,3149,diesel,223.3,221.3,2.0,7
2026-05-31,3150,ulp91,177.9,179.9,-2.0,9
2026-05-31,3150,ulp95,194.9,196.9,-2.0,9
2026-05-31,3150,diesel,221.1,221.3,-0.2,9
2026-05-31,3151,ulp91,178.8,179.9,-1.1,2
2026-05-31,3151,ulp95,193.8,196.9,-3.1,2
2026-05-31,3152,ulp91,179.9,179.9,0.0,8
2026-05-31,3152,ulp95,196.9,196.9,0.0,8
2026-05-31,3152,diesel,217.9,221.3,-3.4,8
2026-05-31,3153,ulp91,179.7,179.9,-0.2,10
2026-05-31,3153,ulp95,195.2,196.9,-1.7,10
2026-05-31,3153,diesel,221.0,221.3,-0.3,10
2026-05-31,3154,ulp91,179.7,179.9,-0.2,1
2026-05-31,3154,ulp95,193.7,196.9,-3.2,1
2026-05-31,3154,diesel,225.7,221.3,4.4,1
2026-05-31,3155,ulp91,177.5,179.9,-2.4,1
2026-05-31,3155,diesel,216.9,221.3,-4.4,1
2026-05-31,3156,ulp91,179.5,179.9,-0.4,11
2026-05-31,3156,ulp95,196.9,196.9,0.0,11
2026-05-31,3156,diesel,219.5,221.3,-1.8,11
2026-05-31,3158,ulp91,187.9,179.9,8.0,1
2026-05-31,3158,ulp95,204.9,196.9,8.0,1
2026-05-31,3160,ulp91,182.9,179.9,3.0,2
2026-05-31,3160,diesel,241.9,221.3,20.6,2
2026-05-31,3162,ulp91,189.9,179.9,10.0,3
